Sequence type,Haploid sequence length
cds,58207233.22042123
introns,980388617.2109859
3UTR,9429208.01797678
5UTR,9669105.022155095
intronsAR,837350666.639614
distalIG,391407347.0161015
proximal5IG,76846208.72084804
proximal3IG,76987505.03701039
IGAR,609244963.9049134
